integrating the Haardt and Madau 2001 UV background from 1-10 Rydbergs



z=0.0 zfile=0.00000 n=8.5974675e-07
z=0.5 zfile=0.46750 n=3.4516053e-06
z=1.0 zfile=0.95670 n=8.4440761e-06
z=1.5 zfile=1.48700 n=1.5527417e-05
z=2.0 zfile=2.01300 n=1.9792150e-05
z=2.5 zfile=2.47900 n=1.8754327e-05
z=3.0 zfile=3.01700 n=1.5402728e-05
z=3.5 zfile=3.42100 n=1.3311125e-05
z=4.0 zfile=4.10500 n=1.0292275e-05
z=4.5 zfile=4.61900 n=8.4537278e-06
z=5.0 zfile=4.89500 n=7.6136351e-06
z=5.5 zfile=5.48800 n=6.1247402e-06
z=6.0 zfile=6.14100 n=4.8912617e-06
z=6.5 zfile=6.49200 n=4.3692342e-06
z=7.0 zfile=6.85900 n=3.9027568e-06
z=7.5 zfile=7.65000 n=3.1270972e-06
z=8.0 zfile=8.07500 n=2.8095686e-06
z=8.5 zfile=8.52100 n=2.5286810e-06
z=9.0 zfile=8.98900 n=2.2260262e-06
